	query	news	relevance
0	敏感舆情	下周逼空大涨，你们记住这是我第一个说的，本周的跌幅下周会全部收回。	0.0
1	敏感舆情	你说她爱干净吧,她用毛巾擦…你说她邋遢吧,她用毛巾擦…	0.0
2	敏感舆情	公安交管部门严管严查公路突出违法行为	1.0
3	敏感舆情	每个环节都要追责，别只拍苍蝇啊	1.0
4	敏感舆情	商户利益受损、品牌声誉下降、虚耗司法资源、可能引发其他组织和个人仿效等情况，令舆情风险显著	1.0
5	敏感舆情	相关负责人的回应与网民的猜测存在偏差，且有违法律常识，给网民一种不负责任之感，暴露相关部门公职人员纪法意识淡薄、舆情危机应对能力不足	1.0
6	敏感舆情	“风会永远记得我爱你，心也是” ​	0.0
7	敏感舆情	很多事情都很糟糕，但人间有人间的好。	0.0
8	敏感舆情	《人世间》孙赶超下线了 感谢大家 感谢导演 ​	0.0
9	敏感舆情	封丘政府给的说明不负责任，什么招标过程未发现问题。这个企业当时叫从业资格证都没有就能参加招标，你告诉我这叫没问题	1.0
10	敏感舆情	光抓食堂的人真是治标不治本，有权有势的政客还是为所欲为，从根上打击恶势力，取得效果才能服众	1.0
11	敏感舆情	她建议完善政策制度，激励带动更多企业优先录用、按比例招录、提供实习或定向培养低收入家庭的学生。	0.0
12	敏感舆情	俄罗斯全部上市公司总市值仅剩1.2万亿元了，大概相当于年盈利额为56亿的宁德时代的市值，恒大欠的钱都比这多7000亿。	0.0
13	敏感舆情	我发现北京冬奥会、冬残奥会的官方网站太强大了，网页上实时更新比赛数据。	0.0
14	敏感舆情	21 岁女孩晨跑后公园爬山失踪	1.0
15	敏感舆情	此表示同情惋惜外，有网民对女性安全产生担忧，恐慌情绪蔓延，如“这也太不安全了吧”“没想到离我家那么近 以后也不敢去爬山了”等	1.0
16	敏感舆情	很多人关心的背后的问题还应该有全面的调查来回复，比如：这家公司是怎么中的标？为什么在无证的情况下能中标？之前的餐暴露出来问题，为什么没有及时得到解决？	1.0
17	敏感舆情	学校出了这种事，作为学校主要负责人餐食馊了没察觉，没制止，第一反应是哭，转移矛盾，回避责任	1.0
